"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Keystroke","e",,"8","1685727844252","file_name_return.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"X-Keystroke","n",,"9","1685727844336","file_name_return.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke"," ",,"10","1685727844493","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","G","","4","1685727843869","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","G",,"5","1685727843870","file_name_return.py","1.1.5 for 2021-2022 @t1",,"G",,,,,
"File.Edit","i","","5","1685727843992","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"6","1685727843992","file_name_return.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","v","","6","1685727844093","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","v",,"7","1685727844094","file_name_return.py","1.1.5 for 2021-2022 @t1",,"v",,,,,
"File.Edit","e","","7","1685727844252","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"8","1685727844252","file_name_return.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"File.Edit","n","","8","1685727844336","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"9","1685727844336","file_name_return.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit"," ","","9","1685727844492","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"10","1685727844493","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Action","Backspace",,,"1685727845229","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","9","1685727845231","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727845480","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","n","8","1685727845483","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727845512","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","e","7","1685727845513","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727845544","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","v","6","1685727845546","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727845592","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","i","5","1685727845593","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727845894","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","G","4","1685727845896","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Keystroke","G",,"5","1685727847058","file_name_return.py","1.1.5 for 2021-2022 @t1",,"G",,,,,
"X-Keystroke","o",,"6","1685727847209","file_name_return.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke","l",,"7","1685727847677","file_name_return.py","1.1.5 for 2021-2022 @t1",,"l",,,,,
"X-Keystroke","a",,"7","1685727848098","file_name_return.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","l",,"8","1685727848190","file_name_return.py","1.1.5 for 2021-2022 @t1",,"l",,,,,
"X-Keystroke"," ",,"9","1685727848272","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","o",,"10","1685727848394","file_name_return.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke","f",,"11","1685727848478","file_name_return.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"X-Keystroke"," ",,"12","1685727848597","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","t",,"13","1685727848831","file_name_return.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","h",,"14","1685727848896","file_name_return.py","1.1.5 for 2021-2022 @t1",,"h",,,,,
"X-Keystroke","i",,"15","1685727848908","file_name_return.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","s",,"16","1685727848991","file_name_return.py","1.1.5 for 2021-2022 @t1",,"s",,,,,
"X-Keystroke"," ",,"17","1685727849036","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","p",,"18","1685727849247","file_name_return.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","r",,"19","1685727849358","file_name_return.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","o",,"20","1685727849430","file_name_return.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"X-Keystroke","g",,"21","1685727849598","file_name_return.py","1.1.5 for 2021-2022 @t1",,"g",,,,,
"X-Keystroke","r",,"22","1685727849844","file_name_return.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","a",,"23","1685727849893","file_name_return.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","m",,"24","1685727850029","file_name_return.py","1.1.5 for 2021-2022 @t1",,"m",,,,,
"File.Edit","G","","4","1685727847058","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","G",,"5","1685727847058","file_name_return.py","1.1.5 for 2021-2022 @t1",,"G",,,,,
"File.Edit","o","","5","1685727847209","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"6","1685727847209","file_name_return.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit","l","","6","1685727847676","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","l",,"7","1685727847677","file_name_return.py","1.1.5 for 2021-2022 @t1",,"l",,,,,
"X-Action","Backspace",,,"1685727847956","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","l","6","1685727847958","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","a","","6","1685727848097","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"7","1685727848098","file_name_return.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","l","","7","1685727848189","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","l",,"8","1685727848190","file_name_return.py","1.1.5 for 2021-2022 @t1",,"l",,,,,
"File.Edit"," ","","8","1685727848271","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"9","1685727848272","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","o","","9","1685727848393","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"10","1685727848394","file_name_return.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit","f","","10","1685727848477","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","f",,"11","1685727848478","file_name_return.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"File.Edit"," ","","11","1685727848596","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"12","1685727848597","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","t","","12","1685727848831","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"13","1685727848831","file_name_return.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit","h","","13","1685727848896","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","h",,"14","1685727848896","file_name_return.py","1.1.5 for 2021-2022 @t1",,"h",,,,,
"File.Edit","i","","14","1685727848907","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"15","1685727848908","file_name_return.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","s","","15","1685727848991","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","s",,"16","1685727848991","file_name_return.py","1.1.5 for 2021-2022 @t1",,"s",,,,,
"File.Edit"," ","","16","1685727849035","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"17","1685727849036","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","p","","17","1685727849246","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"18","1685727849247","file_name_return.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","r","","18","1685727849357","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"19","1685727849358","file_name_return.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","o","","19","1685727849429","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","o",,"20","1685727849430","file_name_return.py","1.1.5 for 2021-2022 @t1",,"o",,,,,
"File.Edit","g","","20","1685727849597","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","g",,"21","1685727849598","file_name_return.py","1.1.5 for 2021-2022 @t1",,"g",,,,,
"File.Edit","r","","21","1685727849844","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","r",,"22","1685727849844","file_name_return.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"File.Edit","a","","22","1685727849893","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"23","1685727849893","file_name_return.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","m","","23","1685727850028","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","m",,"24","1685727850029","file_name_return.py","1.1.5 for 2021-2022 @t1",,"m",,,,,
"File.Edit",":","","24","1685727850250","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke",":",,"25","1685727850251","file_name_return.py","1.1.5 for 2021-2022 @t1",,":",,,,,
"File.Edit"," ","","25","1685727850587","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"26","1685727850589","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","i","","26","1685727852429","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"27","1685727852430","file_name_return.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","n","","27","1685727852490","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","n",,"28","1685727852490","file_name_return.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"File.Edit","p","","28","1685727852676","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","p",,"29","1685727852677","file_name_return.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"File.Edit","u","","29","1685727852702","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","u",,"30","1685727852702","file_name_return.py","1.1.5 for 2021-2022 @t1",,"u",,,,,
"File.Edit","t","","30","1685727852833","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","t",,"31","1685727852834","file_name_return.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"File.Edit"," ","","31","1685727852942","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"32","1685727852943","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke",":",,"25","1685727850251","file_name_return.py","1.1.5 for 2021-2022 @t1",,":",,,,,
"X-Keystroke"," ",,"26","1685727850589","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","i",,"27","1685727852430","file_name_return.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"28","1685727852490","file_name_return.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","p",,"29","1685727852676","file_name_return.py","1.1.5 for 2021-2022 @t1",,"p",,,,,
"X-Keystroke","u",,"30","1685727852702","file_name_return.py","1.1.5 for 2021-2022 @t1",,"u",,,,,
"X-Keystroke","t",,"31","1685727852834","file_name_return.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke"," ",,"32","1685727852943","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Action","Backspace",,,"1685727853828","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","31","1685727853830","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727854091","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","t","30","1685727854092","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727854122","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","u","29","1685727854124","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727854155","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","p","28","1685727854156","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727854186","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","n","27","1685727854187","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727854300","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","i","26","1685727854301","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727854460","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","25","1685727854462","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit"," ","","25","1685727854759","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"26","1685727854759","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","h","","26","1685727854977","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","h",,"27","1685727854978","file_name_return.py","1.1.5 for 2021-2022 @t1",,"h",,,,,
"File.Edit","a","","27","1685727855055","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"28","1685727855056","file_name_return.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit","v","","28","1685727855536","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","v",,"29","1685727855537","file_name_return.py","1.1.5 for 2021-2022 @t1",,"v",,,,,
"File.Edit","e","","29","1685727855704","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"30","1685727855704","file_name_return.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"File.Edit"," ","","30","1685727855788","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"31","1685727855789","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","a","","31","1685727856026","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","a",,"32","1685727856026","file_name_return.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"File.Edit"," ","","32","1685727856095","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke"," ",,"33","1685727856096","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"File.Edit","d","","33","1685727856230","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","d",,"34","1685727856230","file_name_return.py","1.1.5 for 2021-2022 @t1",,"d",,,,,
"File.Edit","i","","34","1685727856347","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","i",,"35","1685727856347","file_name_return.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"File.Edit","f","","35","1685727856446","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","f",,"36","1685727856447","file_name_return.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"X-Action","Backspace",,,"1685727856712","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","f","35","1685727856713","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Keystroke"," ",,"26","1685727854759","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","h",,"27","1685727854978","file_name_return.py","1.1.5 for 2021-2022 @t1",,"h",,,,,
"X-Keystroke","a",,"28","1685727855056","file_name_return.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke","v",,"29","1685727855537","file_name_return.py","1.1.5 for 2021-2022 @t1",,"v",,,,,
"X-Keystroke","e",,"30","1685727855704","file_name_return.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"X-Keystroke"," ",,"31","1685727855789","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","a",,"32","1685727856026","file_name_return.py","1.1.5 for 2021-2022 @t1",,"a",,,,,
"X-Keystroke"," ",,"33","1685727856096","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Keystroke","d",,"34","1685727856230","file_name_return.py","1.1.5 for 2021-2022 @t1",,"d",,,,,
"X-Keystroke","i",,"35","1685727856347","file_name_return.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","f",,"36","1685727856447","file_name_return.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"X-Keystroke","f",,"34","1685727857178","file_name_return.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"X-Keystroke","e",,"35","1685727857362","file_name_return.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
"X-Keystroke","w",,"36","1685727857462","file_name_return.py","1.1.5 for 2021-2022 @t1",,"w",,,,,
"X-Keystroke"," ",,"37","1685727857535","file_name_return.py","1.1.5 for 2021-2022 @t1",," ",,,,,
"X-Action","Backspace",,,"1685727856862","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","i","34","1685727856863","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1685727857014","file_name_return.py","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","d","33","1685727857016","file_name_return.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","f","","33","1685727857177","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","f",,"34","1685727857178","file_name_return.py","1.1.5 for 2021-2022 @t1",,"f",,,,,
"File.Edit","e","","34","1685727857362","file_name_return.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","e",,"35","1685727857362","file_name_return.py","1.1.5 for 2021-2022 @t1",,"e",,,,,
