date,start,end,interference?,sky condition,possible wave?,wave most likey?,Quality Wave,main wave type,note,,,Spreadsheet by Gabriel Decker,,
30-Jan,,,1,clear,1,1,0,"thin, fast columns",between 0013 and 0082,,,,,
31-Jan,,,1,mostly clear,1,0,0,,between 0152 and 0234,,,,,
1-Feb,,,1,clear,1,1,0,"thin, slow columns",between 0018 and 0222,,,,,
2-Feb,,,1,mostly clear,1,1,0,"thin, fast columns",between 0031 and 0091 and between 0179 and 0252,,,,,
3-Feb,,,1,whispy clouds,1,0,0,,"between 0014 and 0086, other potentials throughout",,,,,
4-Feb,,,1,mostly clear,1,1,0,"thin, fast columns","between 017 and 0137, potentials later",,,,,
5-Feb,,,1,mostly clear,1,1,0,"thin, fast columns",between 0016 and 0061 and between 0259 and 0296,,,,,
6-Feb,,,1,mostly clear,1,1,0,"thick, medium columns",between start and end,,,,,
7-Feb,,,1,mostly clear,1,1,0,"medium, medium columns",between start and 0155,,,,,
8-Feb,,,1,clear,1,1,0,"thin, medium columns",between 0091 and 0211,,,,,
9-Feb,,,1,clear,1,1,0,"thin, slow columns",between 0127 and end,,,,,
10-Feb,,,1,clear,1,1,0,"thin, fast columns",between 0085 and 0161,,,,,
11-Feb,,,1,clear,1,1,0,"thick, slow columns",between 0072 and 0151,,,,,
12-Feb,,,1,clear,1,1,0,"thin, fast columns",between 0036 and 0123,,,,,
20-Feb,,,1,clear,0,0,0,,,,,,,
21-Feb,,,1,clear,0,0,0,,,,,,,
22-Feb,,,1,clear,0,0,0,,,,,,,
23-Feb,,,1,mostly clear,0,0,0,,,,,,,
24-Feb,,,1,clear,1,1,0,"thin, fast columns",between 0060 and 0161,,,,,
25-Feb,,,1,whispy clouds,0,0,0,,,,,,,
26-Feb,,,1,whispy clouds,1,1,0,"thin, rapid columns",between 0023 and 0222,,,,,
27-Feb,,,1,whispy clouds,1,0,0,"thick, fast columns",between 0015 and 0131,,,"For a while around here, the picture is slightly illuminated in the beginning before illumination suddenly disappears",,
28-Feb,,,1,whispy clouds,1,1,0,"thick, medium columns",between 0096 and end,,,,,
1-Mar,,,1,mostly clear,1,1,0,"medium, medium columns",between start and end,,,,,
2-Mar,,,1,mostly clear,1,0,0,,between 0087 and 0233,,,,,
3-Mar,,,1,clear,1,1,0,many types,between start and end,,,,,
4-Mar,,,1,partial cloudy,1,1,0,single column,between 0173 and 0220,,,,,
5-Mar,,,1,whispy clouds,1,1,0,"medium, fast columns",between 0022 and 0186,,,,,
6-Mar,,,1,mostly clear,0,0,0,,,,,,,
7-Mar,,,1,clear,1,1,0,"thin, fast columns",between start and end,,,,,
8-Mar,,,1,cloudy,0,0,0,,,,,,,
9-Mar,,,1,mostly clear,1,0,0,,between 0064 and end,,,,,
10-Mar,,,1,whispy clouds,1,1,0,"thick, slow columns",between 0035 and 0187,,,,,
11-Mar,,,1,whispy clouds,1,1,0,"thin, fast columns",between 0176 and end,,,,,
12-Mar,,,1,whispy clouds,1,1,0,"thick, medium columns",between 0029 and 0096,,,,,
13-Mar,,,1,clear,1,0,0,,between 0102 and 0138,,,,,
14-Mar,,,1,clear,0,0,0,,,,,,,
21-Mar,,,1,clear,0,0,0,,,,,,,
22-Mar,,,1,clear,0,0,0,,,,,,,
23-Mar,,,1,clear,1,1,0,"thin, fast columns",between 0015 and 0112,,,,,
24-Mar,,,1,mostly clear,1,1,0,"thin, fast columns",between 0055 and end,,,,,
25-Mar,,,1,clear,1,1,0,"thin, fast columns",between 0012 and 0048,,,,,
26-Mar,,,1,whispy clouds,0,0,0,,,,,,,
27-Mar,,,1,clear,0,0,0,,,,,,,
28-Mar,,,1,clear,0,0,0,,,,,,,
29-Mar,,,1,whispy clouds,1,1,0,"thin, fast columns",between 0112 and 0276,,,,,
30-Mar,,,1,whispy clouds,1,1,0,"thin, fast columns",between 0318 and end,,,,,
31-Mar,,,1,whispy clouds,1,1,0,"thin, fast columns",between 0181 and end,,,,,
1-Apr,,,1,mostly clear,1,1,0,"thin, medium columns",between 0196 and 0260,,,,,
2-Apr,,,1,mostly clear,0,0,0,,,,,,,
3-Apr,,,1,whispy clouds,1,0,0,,between 0124 and 0238,,,,,
4-Apr,,,1,whispy clouds,1,0,0,,between 0034 and 0169,,,,,
5-Apr,,,1,whispy clouds,1,1,0,single column,between 0289 and 0358,,,,,
6-Apr,,,1,whispy clouds,1,0,0,,between 0177 and 0291,,,,,
7-Apr,,,1,whispy clouds,0,0,0,,,,,,,
13-Apr,,,1,cloudy,0,0,0,,,,,,,
20-Apr,,,1,whispy clouds,1,1,0,"thin, fast columns",between 0025 and 0080,,,,,
21-Apr,,,1,whispy clouds,1,1,0,"squiggles: thin, fast",between start and end,,,,,
22-Apr,,,1,whispy clouds,1,0,0,,between start and 0105,,,,,
23-Apr,,,1,whispy clouds,1,1,0,"thin, slow columns",between 0020 and 0130,,,,,
24-Apr,,,1,whispy clouds,1,1,0,standing waves,between 0074 and 0134,,,,,
25-Apr,,,1,whispy clouds,1,1,0,"thin, slow columns","between 0122 and end, rapid ones around 0096",,,,,
26-Apr,,,1,partial cloudy,1,1,0,"thin, medium columns",between 0128 and 0210,,,,,
27-Apr,,,1,whispy clouds,1,1,0,many types,between 0091 and 0350,,,,,
28-Apr,,,1,whispy clouds,1,1,0,"medium, medium columns",between 0030 and 0314,,,,,
29-Apr,,,1,partial cloudy,1,0,0,,between 0034 and 0090,,,,,
30-Apr,,,1,whispy clouds,1,1,0,"squiggles: thin, fast",between 0014 and 0160,,,,,
1-May,,,1,partial cloudy,1,1,0,"thin, slow columns",between 0013 and 0132,,,,,
2-May,,,1,whispy clouds,1,1,0,"medium, slow columns",between 0039 and 0142,,,,,
3-May,,,1,whispy clouds,1,1,0,single column,"between 0334 and 0379, and possibly earlier stuff",,,,,
4-May,,,1,whispy clouds,1,1,0,"thin, medium columns",between 0013 and 0144,,,,,
5-May,,,1,partial cloudy,1,1,0,"thin, medium columns","between 0188 and 0236, also around 0269",,,,,
6-May,,,1,mostly clear,1,1,0,single column,between 0226 and 0285,,,,,
7-May,,,1,cloudy,0,0,0,,,,,,,
8-May,,,1,partial cloudy,1,1,0,"thin, slow columns",between start and 0089,,,,,
9-May,,,1,mostly clear,1,0,0,,between 0055 and 0128,,,,,
10-May,,,1,cloudy,0,0,0,,,,,,,
11-May,,,1,cloudy,0,0,0,,,,,,,
12-May,,,1,cloudy,0,0,0,,,,,,,
19-May,,,1,mostly clear,1,0,0,single column,between 0042 and 0110,,,,,
20-May,,,1,partial cloudy,1,1,0,"thick, fast columns",between 0029 and 0064,,,,,
21-May,,,1,mostly clear,0,0,0,,,,,,,
22-May,,,1,cloudy,0,0,0,,about 1/3 of pictures are corrupted,,,,,
23-May,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
24-May,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
25-May,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
26-May,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
27-May,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
28-May,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
29-May,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
30-May,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
31-May,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
1-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
2-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
3-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
4-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
5-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
6-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
7-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
8-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
9-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
10-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
11-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
17-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
18-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
19-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
20-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
21-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
22-Jun,,,1,corrupted,0,0,0,,3/4 of pictures corrupted,,,,,
23-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
24-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
25-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
26-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
27-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
28-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
29-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
30-Jun,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
1-Jul,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
2-Jul,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
3-Jul,,,0,corrupted,0,0,0,,all or nearly all pictures corrupted and/or missing,,,,,
4-Jul,,,1,whispy clouds,1,1,0,"medium, medium columns","between 0255 and 0352, fast waves possibly at start",,,,,
5-Jul,,,1,whispy clouds,1,1,0,"thin, fast columns",between 0144 and 0226,,,,,
6-Jul,54,235,0.5,whispy clouds,1,1,0,"squiggles: thin, fast",between start and 0170,,,,,
7-Jul,,,0,cloudy,0,0,0,,,,,,,
8-Jul,0,179,0,whispy clouds,1,1,1,"thin, medium columns",between start and end,,,,,
9-Jul,,,0,cloudy,0,0,0,,,,,,,
10-Jul,,,0,cloudy,0,0,0,,,,,,,
16-Jul,21,110,0,mostly clear,1,1,0,single column,between 0017 and 0089,,,,,
17-Jul,24,147,0,whispy clouds,1,1,0,"squiggles: thin, fast",between 0016 and end,,,,,
18-Jul,21,56,0,mostly clear,1,1,0,standing waves,between 0014 and 0064,,,,,
19-Jul,98,195,0,whispy clouds,1,1,0,"squiggles: thin, fast",between 0115 and 0168,,,,,
20-Jul,125,142,0,partial cloudy,1,1,1,"squiggles: thin, fast",between 0122 and 0176,,,,,
21-Jul,19,277,0,mostly clear,1,1,1,"thin, slow columns","between 0148 and 0237, other kinds throughout start and end",,,,,
22-Jul,22,308,0,whispy clouds,1,1,0,"thin, fast columns","between 0015 and 0089, additional wave around 0172",,,,,
23-Jul,20,396,0,whispy clouds,1,1,0,"thin, slow columns",between 0018 and 0236,,,,,
24-Jul,23,392,0,whispy clouds,1,1,0,"squiggles: thin, fast","around 0036, 0135",,,,,
25-Jul,27,396,0,whispy clouds,1,1,1,standing waves,"between 0016 and 0080, also between 0222 and 0265, add. waves throughout",,,,,
26-Jul,17,386,0,mostly clear,1,1,1,standing waves,"between 0014 and 0120, add. waves until 0291",,,,,
27-Jul,151,390,0,mostly clear,1,0,1,,between 0313 and 0374,,,,,
28-Jul,27,390,0,mostly clear,1,1,1,standing waves,between 0213 and 0398,,,,,
29-Jul,,,0,cloudy,0,0,0,,,,,,,
30-Jul,58,390,0,mostly clear,1,1,1,"thin, slow columns","between 0084 and 0168, fast squiggles between 0151 and 0309",,,,,
31-Jul,90,360,0,partial cloudy,1,0,0,,between 0270 and 0350,,,,,
1-Aug,29,392,0,whispy clouds,1,1,0,"thin, fast columns",between 0164 and 0394,,,,,
3-Aug,0,275,0,mostly clear,1,1,0,"squiggles: thin, fast",between 0028 and 0163,,,,,
4-Aug,0,242,0,mostly clear,1,1,1,"thin, fast columns",between start and end,,,,,
5-Aug,,,0,cloudy,0,0,0,,,,,,,
6-Aug,,,0,cloudy,0,0,0,,,,,,,
7-Aug,1,133,0,"moon glare, whispy clouds",1,0,0,,between 0038 and 0104,,,,,
8-Aug,1,96,0,"moon glare, whispy clouds",1,1,1,"thin, fast columns",between 0027 and 0069,,,,,
15-Aug,21,131,0,mostly clear,1,1,0,"thin, fast columns",between 0036 and end,,,,,
16-Aug,17,154,0,whispy clouds,1,0,0,,between start and end,,,,,
17-Aug,17,196,0,clear,1,1,0,"thin, fast columns",between 0010 and 0197,,,,,
18-Aug,,,0,whispy clouds,0,0,0,,,,,,,
19-Aug,23,260,0,whispy clouds,1,1,0,"thin, fast columns",between 0077 and 0198,,,,,
20-Aug,25,292,0,mostly clear,1,1,0,"thin, fast columns",between 0020 and 0180,,,,,
21-Aug,18,322,0,whispy clouds,1,1,0,"squiggles: thin, fast",between 0033 and 0192,,,,,
22-Aug,17,374,0,whispy clouds,1,0,0,,between 0287 and 0350,,,,,
23-Aug,16,360,0,mostly clear,1,1,0,"thin, medium columns",between 0016 and ,,,,,
24-Aug,21,378,0,whispy clouds,1,1,0,"thin, slow columns",between 0308 and end,,,,,
25-Aug,21,282,0.2,whispy clouds,1,1,1,"thin, slow columns","between 0018 and 0085, also around 0255",,,,,Minor interference starting here
26-Aug,23,374,0.2,whispy clouds,1,1,1,standing waves,"between 0011 and 0210, other waves after",,,,,
27-Aug,17,369,0.2,whispy clouds,1,1,0,"thin, fast columns",between 0297 and end,,,,,
28-Aug,17,372,0.3,mostly clear,1,1,0,"thin, fast columns","between 0036 and 0166, also between 0279 and end",,,,,
29-Aug,24,366,0.3,mostly clear,1,1,0,"thin, slow columns",between 0174 and end,,,,,
30-Aug,24,224,0.4,mostly clear,1,1,0,"thin, fast columns",between 0039 and 0142,,,,,
31-Aug,17,359,0.3,clear,1,1,1,many types,between start and end,,,,,
1-Sep,57,261,0.3,whispy clouds,1,1,0,"thin, medium columns",between 0067 and end,,,,,
2-Sep,1,213,0.3,whispy clouds,1,0,1,single column,between 0168 and 0216,,,,,
3-Sep,1,183,0.3,whispy clouds,1,1,0,"repeating, fast squiggles",between 0033 and 0192,,,,,
4-Sep,,,1,clear,1,1,0,"thick, medium columns",between 0034 and 0120,,,,,
5-Sep,,,0.5,whispy clouds,1,0,0,,between 0013 and 0065,,,,,
6-Sep,,,0.5,mostly clear,1,1,0,"thin, fast columns",between start and 0055,,,,,
7-Sep,,,1,clear,1,0,0,,between start and 0026,,,,,
13-Sep,1,65,0.3,mostly clear,1,0,0,,between start and 0073,,,,,
14-Sep,58,147,0.1,whispy clouds,1,1,0,"thin, slow columns",between 0065 and end,,,,,
15-Sep,,,1,partial cloudy,0,0,0,,,,,,,"Around here, interference starts getting worse"
16-Sep,,,1,cloudy,0,0,0,,,,,,,
17-Sep,,,0.3,clear,1,0,0,,between 0170 and end,,,,,
18-Sep,,,0.5,whispy clouds,1,1,0,"thin, medium columns",between 0123 and 0193,,,,,
19-Sep,,,0.5,mostly clear,1,1,0,"thin, medium columns",between 0106 and end,,,,,
20-Sep,,,1,whispy clouds,1,1,0,single column,between 0003 and 0062,,,,,
21-Sep,1,241,0.3,whispy clouds,1,1,0,"medium, slow columns",between 0068 and 0240,,,,,
22-Sep,1,311,0.4,mostly clear,1,1,0,"thin, medium columns",between start and 0321,,,,,
23-Sep,1,309,0.2,mostly clear,1,1,0,"thin, medium columns",between start and 0309,,,,,
24-Sep,1,314,0.3,whispy clouds,1,1,0,"thin, fast columns","between 0220 and 0315, maybe earlier",,,,,
25-Sep,1,131,0.4,whispy clouds,1,1,1,"thin, slow columns",between start and 0122,,,,,
26-Sep,,,1,partial cloudy,0,0,0,,,,,,,
27-Sep,1,135,0.4,cloudy,1,0,0,,between 0091 and 0200,,,,,
28-Sep,79,250,0.4,whispy clouds,1,1,0,"thin, slow columns",0081 and 0244,,,,,
29-Sep,1,306,0.3,whispy clouds,1,1,1,"squiggles: thin, fast","between 0197 and 0292, others throughout",,,,,
30-Sep,1,297,0.2,whispy clouds,1,1,1,"thin, fast columns",between 0114 and 0259,,,,,
1-Oct,,,0.5,clear,1,1,0,"thin, fast columns",between start and 0100,,,,,
2-Oct,1,130,0.3,whispy clouds,1,1,0,"thin, medium columns",between 0023 and 0100,,,,,
3-Oct,,,1,clear,0,0,0,,,,,,,
4-Oct,,,1,cloudy,0,0,0,,,,,,,
5-Oct,1,45,0.5,mostly clear,1,1,0,"thin, medium columns",between start and 0043,,,,,
6-Oct,1,19,0.3,whispy clouds,1,0,1,,between start and 0023,,,,Oct 5 Dark 0000 used today because its dark images were weird,
13-Oct,18,126,0.2,mostly clear,1,1,1,"thin, fast columns",between 0012 and end,,,,,
14-Oct,,,1,whispy clouds,0,0,0,,,,,,,
15-Oct,,,1,clear,0,0,0,,,,,,,
16-Oct,,,1,whispy clouds,0,0,0,,,,,,,
17-Oct,,,1,mostly clear,0,0,0,,,,,,,
18-Oct,168,228,0.3,whispy clouds,1,0,0,"thick, medium columns",between 0169 and 0227,,,,,
19-Oct,,,0.5,whispy clouds,1,1,0,"thin, fast columns",between 0016 and 0216,,,,,
20-Oct,,,1,whispy clouds,1,1,0,"thin, fast columns",between 0206 and end,,,,,
21-Oct,,,1,whispy clouds,0,0,0,,,,,,,
22-Oct,17,317,1,whispy clouds,1,1,1,"thin, medium columns",between 0074 and end,,,,,
23-Oct,,,1,whispy clouds,0,0,0,,,,,,,
24-Oct,,,1,whispy clouds,0,0,0,,,,,,,
25-Oct,17,195,0.5,whispy clouds,1,1,1,"thin, fast columns",between 0010 and 0200,,,,,
26-Oct,16,313,0.2,whispy clouds,1,1,0,"medium, medium columns",between 0223 and 0298,,,,,
27-Oct,15,311,0.2,mostly clear,1,1,1,"thin, medium columns",between 0010 and end,,,,,
28-Oct,26,316,0.5,whispy clouds,1,1,0,"thin, slow columns","between 0127 and 0245, possibly more before",,,,,
29-Oct,,,0.3,mostly clear,1,1,0,"thin, slow columns",between 0011 and 0069,,,,,
30-Oct,50,186,0.3,mostly clear,1,1,1,"squiggles: thin, fast",between 0064 and 0175,,,,,
31-Oct,,,1,mostly clear,1,1,0,"thick, medium columns",between 0026 and 0086,,,,,
1-Nov,,,1,whispy clouds,1,0,0,single column,between 0078 and 0125,,,,,
2-Nov,,,0,whispy clouds,0,0,0,,,,,,,
3-Nov,,,1,clear,0,0,0,,,,,,,
4-Nov,,,1,mostly clear,1,0,0,,between 0016 and 0068,,,,,
12-Nov,,,1,cloudy,0,0,0,,,,,,,
13-Nov,,,1,whispy clouds,1,1,0,"thin, medium columns",between 0050 and 0105,,,,,Starting to use .5 or less interference if it's less pronounced (occasionally retroactively applied above)
14-Nov,14,184,0.5,whispy clouds,1,1,0,"thin, fast columns","between 0014 and 0060, also between 0131 and end",,,,,
15-Nov,,,1,whispy clouds,1,1,0,"squiggles: thin, fast",between 0028 and 0182,,,,,
16-Nov,15,224,0.3,whispy clouds,1,1,1,"thin, fast columns",between 0021 and 0200,,,,,
17-Nov,,,0.5,clear,1,1,0,"thin, medium columns","between 0016 and 0110, maybe some after",,,,,
18-Nov,,,0.5,clear,1,1,0,"thin, fast columns",between 0180 and end,,,,,
19-Nov,16,290,0.5,clear,1,1,1,"thin, fast columns",between 0018 and  0288,,,,,
20-Nov,,,1,whispy clouds,0,0,0,,,,,,,
21-Nov,,,1,whispy clouds,1,1,0,"medium, medium columns",between 0075 and 0263,,,,,
22-Nov,16,289,0.3,clear,1,1,0,"medium, fast columns",between 0018 and 0290,,,,,
23-Nov,,,0.5,whispy clouds,1,1,0,"thin, medium columns",between 0033 and 0141,,,,,
24-Nov,,,0.5,whispy clouds,1,1,0,"thin, fast columns",between 0026 and 0284,,,,,
25-Nov,,,0.5,clear,1,1,0,single column,between 0012 and 0077,,,,,
26-Nov,13,286,0.3,clear,1,1,0,"thin, fast columns",between 0012 and 0288,,,,,"From here to the end of the year, there are an especially high number of clear, plentiful waves"
27-Nov,90,279,0.3,mostly clear,1,1,0,"thin, fast columns",between 0095 and 0274,,,,,
28-Nov,1,160,0.2,clear,1,1,1,many types,between start and 0157,,,,,
29-Nov,60,163,1,mostly clear,1,1,0,"thin, fast columns",between 0060 and 0161,,,,,
30-Nov,1,142,0,whispy clouds,1,1,1,"thin, fast columns",between start and end,,,,,
1-Dec,,,1,mostly clear,1,1,0,"thin, fast columns",between start and 0122,,,,,
2-Dec,,,1,mostly clear,0,0,0,,,,,,,
3-Dec,,,1,clear,1,1,0,"thin, slow columns",between 0040 and 0095,,,,,
4-Dec,,,0.5,"moon glare, whispy clouds",1,0,0,,between 0030 and 0068,,,,,
12-Dec,16,74,0,mostly clear,1,1,0,"thin, fast columns",between 0014 and 0072,,,,,
13-Dec,51,143,0,clear,1,1,0,"thin, fast columns",between 0053 and end,,,,,
14-Dec,,,0.5,clear,1,1,0,"thick, slow columns",between 0062 and end,,,,,
15-Dec,26,177,0,clear,1,1,1,"thin, medium columns",between 0026 and end,,,,,
16-Dec,20,193,0.2,mostly clear,1,1,0,"thin, slow columns",between 0020 and end,,,,,
17-Dec,,,0.5,clear,1,1,0,"medium, slow columns",between 0016 and end,,,,,
18-Dec,,,0.5,clear,1,1,0,"thin, medium columns",between 0014 and end,,,,,
19-Dec,,,0.5,clear,1,0,0,,between 0014 and 0104,,,,,
20-Dec,,,0.5,clear,1,1,0,"thin, medium columns",between 0025 and 0284,,,,,
21-Dec,16,276,0.5,clear,1,1,0,many types,between 0016 and 0261,,,,,
22-Dec,,,0.5,whispy clouds,1,1,0,"thick, slow columns",between 0083 and 0276,,,,,
23-Dec,23,200,0.3,clear,1,1,0,"thin, fast columns",between 0018 and 0208,,,,,
24-Dec,,,0.5,clear,1,1,0,"thin, medium columns",between 0019 and 0198,,,,,
25-Dec,25,271,0.5,mostly clear,1,1,0,"squiggles: thin, slow","between 0020 and 0268, other types throughout",,,,,
26-Dec,,,0.5,mostly clear,1,1,0,"thin, medium columns",between 0165 and 0275,,,,,
27-Dec,20,272,0,clear,1,1,1,"thin, slow columns","between 0016 and 0272, sick standing wave around 0158",,,,,
28-Dec,76,187,0,clear,1,1,0,"thin, medium columns",between 0080 and 0195,,,,,
29-Dec,1,168,0,clear,1,1,0,"thick, slow columns",between 0029 and 0171,,,,,
30-Dec,1,160,0,mostly clear,1,1,1,"thin, medium columns",between start and 0162,,,,,
31-Dec,34,144,0,clear,1,1,0,"thick, slow columns",between 0036 and 0139,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,# Noncorrupted days,,250,,,,,,,,
,,,,# of those with possible waves,,199,,,,,,,,
,,,,% of those with possible waves,,0.796,,,,,,,,
,,,"Those with waves, # most likely",,,166,,,,,,,,
,,,"Those with waves, % most likely",,,0.834170854,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
